width,dataset,codec,rows,block_size,chunks,encoded_bytes,ratio,encode_ms,decode_ms,gather_uniform_ms,gather_uniform_chunks,gather_uniform_rows,gather_clustered_ms,gather_clustered_chunks,gather_clustered_rows,point_ms,point_count,plan
32,snowflake,UNCOMPRESSED,1048576,4096,256,4197376,0.999268,342.714,0.556123,0.4058,256,4096,0.378144,118,11089,0.453206,256,"UNCOMPRESSED"
32,snowflake,BP,1048576,4096,256,3777856,1.11023,353.707,1.35498,1.45045,256,4096,0.752079,118,11089,1.30936,256,"BP"
32,snowflake,PFOR,1048576,4096,256,3760448,1.11537,382.635,1.75534,1.41538,256,4096,1.05871,118,11089,1.78387,256,"PFOR"
32,snowflake,DICT,1048576,4096,256,4197376,0.999268,815.304,0.666611,0.45757,256,4096,0.451408,118,11089,0.621768,256,"UNCOMPRESSED"
32,snowflake,RLE,1048576,4096,256,3791680,1.10619,911.959,5.92718,11.1425,256,4096,3.8271,118,11089,11.0328,256,"RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,AUTO_BASELINE,1048576,4096,256,3777856,1.11023,637.657,1.44644,1.69027,256,4096,1.16446,118,11089,1.79,256,"BP"
32,snowflake,AUTO_WITH_SIS,1048576,4096,256,1040276,4.03191,12725.3,2.44966,1.66067,256,4096,1.34599,118,11089,1.92982,256,"SUB_INT_SPLIT[0-10;11-14;15-31]  -> ([0-10] section) BP  -> ([11-14] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([15-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,SIS_HALVES,1048576,4096,256,2039296,2.05674,1196.98,1.41659,1.05241,256,4096,0.834738,118,11089,1.40657,256,"SUB_INT_SPLIT[0-15;16-31]  -> ([0-15] section) BP  -> ([16-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,snowflake,SIS_PLANNED,1048576,4096,256,1040276,4.03191,8205.78,2.28164,1.77206,256,4096,1.09518,118,11089,2.00152,256,"SUB_INT_SPLIT[0-10;11-14;15-31]  -> ([0-10] section) BP  -> ([11-14] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED  -> ([15-31] section) RLE  -> ([valueType] values) BP  -> ([int] counts) RLE  -> ([valueType] values) UNCOMPRESSED  -> ([int] counts) UNCOMPRESSED"
32,uniform,UNCOMPRESSED,1048576,4096,256,4197376,0.999268,570.156,0.94312,0.594755,256,4096,0.474034,118,11089,0.543934,256,"UNCOMPRESSED"
32,uniform,BP,1048576,4096,256,4197376,0.999268,541.849,0.570313,0.454839,256,4096,0.40137,118,11089,0.437157,256,"UNCOMPRESSED"
32,uniform,PFOR,1048576,4096,256,4197376,0.999268,571.227,0.59966,0.457641,256,4096,0.441781,118,11089,0.524031,256,"UNCOMPRESSED"
32,uniform,DICT,1048576,4096,256,4197376,0.999268,1397.7,1.26543,0.587664,256,4096,0.587146,118,11089,0.780201,256,"UNCOMPRESSED"
32,uniform,RLE,1048576,4096,256,4197376,0.999268,1222.6,0.761683,0.496528,256,4096,0.476625,118,11089,0.565,256,"UNCOMPRESSED"
32,uniform,AUTO_BASELINE,1048576,4096,256,4197376,0.999268,674.432,0.594646,0.443869,256,4096,0.455622,118,11089,0.597497,256,"UNCOMPRESSED"
32,uniform,AUTO_WITH_SIS,1048576,4096,256,4197376,0.999268,4018.14,0.57497,0.491736,256,4096,0.475007,118,11089,0.520994,256,"UNCOMPRESSED"
