width,dataset,codec,block_size,rows,section,bit_start,bit_end,bits,predicted,actual,bytes,bits_per_value,share_pct,plan_ms,raw_fallback
32,snowflake,AUTO_WITH_SIS,65536,1048576,0,0,10,11,BP,DICT,59721,7.29016,93.7344,27.1934,0
32,snowflake,AUTO_WITH_SIS,65536,1048576,1,11,18,8,RLE,RLE,3842,0.468994,6.03017,27.1934,0
32,snowflake,AUTO_WITH_SIS,65536,1048576,2,19,31,13,RLE,RLE,150,0.0183105,0.235431,27.1934,0
32,snowflake,SIS_HALVES,65536,1048576,0,0,15,16,-,DICT,99345,12.1271,99.737,0.000797,0
32,snowflake,SIS_HALVES,65536,1048576,1,16,31,16,-,RLE,262,0.0319824,0.263034,0.000797,0
32,snowflake,SIS_PLANNED,65536,1048576,0,0,10,11,BP,DICT,59721,7.29016,93.7344,30.0589,0
32,snowflake,SIS_PLANNED,65536,1048576,1,11,18,8,RLE,RLE,3842,0.468994,6.03017,30.0589,0
32,snowflake,SIS_PLANNED,65536,1048576,2,19,31,13,RLE,RLE,150,0.0183105,0.235431,30.0589,0
32,uniform,SIS_PLANNED,65536,1048576,0,0,31,32,UNCOMPRESSED,UNCOMPRESSED,262144,32,100,54.3543,0
32,increasing,AUTO_WITH_SIS,65536,1048576,0,0,5,6,BP,BP,51212,6.25146,83.9156,71.4308,0
32,increasing,AUTO_WITH_SIS,65536,1048576,1,6,10,5,RLE,RLE,9214,1.12476,15.098,71.4308,0
32,increasing,AUTO_WITH_SIS,65536,1048576,2,11,31,21,RLE,RLE,602,0.0734863,0.986432,71.4308,0
32,increasing,SIS_HALVES,65536,1048576,0,0,15,16,-,BP,125576,15.3291,99.9443,0.001279,0
32,increasing,SIS_HALVES,65536,1048576,1,16,31,16,-,RLE,70,0.00854492,0.0557121,0.001279,0
32,increasing,SIS_PLANNED,65536,1048576,0,0,5,6,BP,BP,51212,6.25146,83.9156,85.2769,0
32,increasing,SIS_PLANNED,65536,1048576,1,6,10,5,RLE,RLE,9214,1.12476,15.098,85.2769,0
32,increasing,SIS_PLANNED,65536,1048576,2,11,31,21,RLE,RLE,602,0.0734863,0.986432,85.2769,0
64,snowflake,SIS64_HALVES,65536,1048576,0,0,31,32,-,BP,230412,28.1265,99.9983,0.001309,0
64,snowflake,SIS64_HALVES,65536,1048576,1,32,63,32,-,ONE_VALUE,4,0.000488281,0.00173599,0.001309,0
64,snowflake,SIS64_PLANNED,65536,1048576,0,0,3,4,BP,BP,34828,4.25146,41.8339,247.236,0
64,snowflake,SIS64_PLANNED,65536,1048576,1,4,9,6,RLE,RLE,3010,0.367432,3.61549,247.236,0
64,snowflake,SIS64_PLANNED,65536,1048576,2,10,24,15,BP,DICT,45329,5.53333,54.4473,247.236,0
64,snowflake,SIS64_PLANNED,65536,1048576,3,25,31,7,RLE,RLE,82,0.0100098,0.0984949,247.236,0
64,snowflake,SIS64_PLANNED,65536,1048576,4,32,63,32,ONE_VALUE,ONE_VALUE,4,0.000488281,0.00480463,247.236,0
64,uniform,SIS64_HALVES,65536,1048576,0,0,31,32,-,UNCOMPRESSED,262144,32,50,0.000543,0
64,uniform,SIS64_HALVES,65536,1048576,1,32,63,32,-,UNCOMPRESSED,262144,32,50,0.000543,0
64,uniform,SIS64_PLANNED,65536,1048576,0,0,31,32,UNCOMPRESSED,UNCOMPRESSED,262144,32,50,180.298,0
64,uniform,SIS64_PLANNED,65536,1048576,1,32,63,32,UNCOMPRESSED,UNCOMPRESSED,262144,32,50,180.298,0
64,increasing,SIS64_HALVES,65536,1048576,0,0,31,32,-,BP,172740,21.0864,99.9977,0.000388,0
64,increasing,SIS64_HALVES,65536,1048576,1,32,63,32,-,ONE_VALUE,4,0.000488281,0.00231557,0.000388,0
64,increasing,SIS64_PLANNED,65536,1048576,0,0,5,6,BP,BP,51212,6.25146,83.9101,150.007,0
64,increasing,SIS64_PLANNED,65536,1048576,1,6,10,5,RLE,RLE,9214,1.12476,15.097,150.007,0
64,increasing,SIS64_PLANNED,65536,1048576,2,11,31,21,RLE,RLE,602,0.0734863,0.986368,150.007,0
64,increasing,SIS64_PLANNED,65536,1048576,3,32,63,32,ONE_VALUE,ONE_VALUE,4,0.000488281,0.00655394,150.007,0
64,tweet_ids,SIS64_HALVES,65536,1048576,0,0,31,32,-,UNCOMPRESSED,262144,32,53.6828,0.000451,0
64,tweet_ids,SIS64_HALVES,65536,1048576,1,32,63,32,-,BP,226176,27.6094,46.3172,0.000451,0
64,tweet_ids,SIS64_PLANNED,65536,1048576,0,0,2,3,BP,BP,22920,2.79785,6.9089,177.972,0
64,tweet_ids,SIS64_PLANNED,65536,1048576,1,3,11,9,FREQUENCY,BP,6796,0.82959,2.04856,177.972,0
64,tweet_ids,SIS64_PLANNED,65536,1048576,2,12,17,6,BP,BP,50268,6.13623,15.1526,177.972,0
64,tweet_ids,SIS64_PLANNED,65536,1048576,3,18,21,4,RLE,RLE,3502,0.42749,1.05563,177.972,0
64,tweet_ids,SIS64_PLANNED,65536,1048576,4,22,50,29,BP,BP,236984,28.9287,71.4354,177.972,0
64,tweet_ids,SIS64_PLANNED,65536,1048576,5,51,55,5,RLE,RLE,10182,1.24292,3.06922,177.972,0
64,tweet_ids,SIS64_PLANNED,65536,1048576,6,56,63,8,RLE,RLE,1094,0.133545,0.32977,177.972,0
